OBJECTID,RoadName,RoadID,SectionID,RoadIDSect,LocationBe,LocationEn,PMBeg,PMEnd,SurfaceTyp,Lanes,Length,Width,Area,PCI_Inspec,PCI_Insp_1,PCI_Curren,Functional,Quadrant,Supervisor,RoadYard,Constructi,Construc_1
305,BOWEN CT,56211,1000,56211 - 1000,GILLMAN DR,END,10,10.11,A,2,581,35,20335,66,2015/05/27,64,7 - Local,SE,1st District,SON,1979/01/01,1979/01/01,
568,CRANE CANYON RD,6702A,1120,6702A - 1120,3547&apos; W/O INVERNESS,GRANGE RD,11.2,11.77,A,2,3010,32,96320,82,2015/05/11,79,5 - Major Collector,SE,1st District,COT,1974/01/01,1974/01/01,
669,DUTCH LN,57058,1000,57058 - 1000,PETALUMA HILL RD,DAVIS LN,10,10.63,A,2,3327,18,59886,34,2015/04/15,30,7 - Local,SE,2nd District,COT,1988/01/01,1988/01/01,
450,CECELIA DR,66037,1000,66037 - 1000,ARNOLD DR,BURBANK DR,10,10.25,A,2,1325,36,47700,37,2015/05/27,34,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
1143,HYLAND WAY,67021,1000,67021 - 1000,END,LICHAU RD,10,10.37,A,2,1954,22,42988,30,2015/04/15,26,7 - Local,SE,1st District,COT,1972/01/01,1972/01/01,
109,ARNOLD DR,5603,1501,5603 - 1501,AGUA CALIENTE RD,SOBRE VISTA RD,15.01,15.76,O,2,3960,36,142560,97,2015/02/23,90,5 - Major Collector,SE,1st District,SON,2012/07/02,1982/06/06,
991,GREGER ST,56097,1000,56097 - 1000,ORCHARD AVE,BOYES BLVD,10,10.14,A,2,739,18,13302,7,2015/05/22,2,7 - Local,SE,1st District,SON,1967/01/01,1967/01/01,
1006,GROVE ST,57054,3000,57054 - 3000,EAST ST,ADOBE RD,30,30.25,A,2,1320,23,30360,56,2015/04/26,54,7 - Local,SE,2nd District,COT,1988/01/01,1988/01/01,
82,ARBOR AVE,56051,1000,56051 - 1000,RAILROAD AVE,RIVERSIDE DR,10,10.18,A,2,950,22,20900,4,2015/05/27,0,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
800,FISHER LN,55027,1000,55027 - 1000,STATE HIGHWAY 12,END,10,10.19,A,2,950,20,19000,4,2015/05/28,0,7 - Local,SE,1st District,SON,1988/01/01,1988/01/01,
217,BENNETT VALLEY RD,6604,1604,6604 - 1604,PM 16.04,OLD BENNETT RIDGE RD,16.04,17.34,O,2,6864,35,240240,96,2015/03/27,90,5 - Major Collector,SE,1st District,SON,2012/10/26,1986/12/31,
442,CAVEDALE RD,66032,1488,66032 - 1488,FIRE STATION SIGN,PM 16.10,14.88,16.1,A,2,6442,11,70862,15,2015/03/30,10,7 - Local,SE,1st District,SON,1969/01/01,1969/01/01,
52,ALTA MONTE DR,67016,1000,67016 - 1000,CRANE CANYON RD,END,10,10.3,A,2,1584,26,41184,3,2015/04/26,0,7 - Local,SE,1st District,COT,1967/01/01,1967/01/01,
740,ESCONDIDO CT,56128,1000,56128 - 1000,LOS ROBLES DR,END,10,10.05,A,2,264,21,5544,31,2015/05/29,28,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
218,BENNETT VALLEY RD,6604,1734,6604 - 1734,OLD BENNETT RIDGE RD,ENTERPRISE RD,17.34,18.2,A,2,4541,21,95361,97,2015/03/27,94,5 - Major Collector,SE,1st District,SON,2014/11/30,1970/06/16,
609,DAVIS LN,57052,1000,57052 - 1000,ADOBE RD,PM MARKER,10,11.03,A,2,5438,21,114198,40,2015/04/15,37,7 - Local,SE,2nd District,COT,1984/01/01,1984/01/01,
377,CALLE DEL MONTE,56069,1000,56069 - 1000,HWY 12,CENTRAL AVE,10,10.33,A,2,1742,22,38324,29,2015/05/27,25,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
430,CASABELLA DRIVE,66107,1000,66107 - 1000,VAILETTI DR,END,10,10.17,A,2,898,40,35920,37,2015/05/27,34,7 - Local,SE,1st District,SON,1997/01/01,1997/01/01,
441,CAVEDALE RD,66032,1395,66032 - 1395,PM 13.95,FIRE STATION SIGN,13.95,14.88,A,2,4910,12,58920,22,2015/03/30,18,7 - Local,SE,1st District,SON,1969/01/01,1969/01/01,
1121,HOPKINS ST,56123,1000,56123 - 1000,END,BARRETT AVE,10,10.06,A,2,317,11,3487,90,2015/05/29,88,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
115,ARNOLD DR,5603,1802,5603 - 1802,HILL RD,GLEN ELLEN BRDIGE,18.02,18.36,O,2,1795,28,50260,95,2015/02/23,90,5 - Major Collector,SE,1st District,SON,2012/04/06,1992/01/01,
987,GREENE ST,76020,1000,76020 - 1000,END,HWY 12,10,10.4,A,2,2112,22,46464,37,2015/04/09,33,7 - Local,SE,1st District,SON,1990/01/01,1967/12/03,
1099,HILL RD,66043,1000,66043 - 1000,END,ARNOLD DR,10,10.44,A,2,2323,14,32522,65,2015/04/17,63,7 - Local,SE,1st District,SON,1969/01/01,1969/01/01,
12,ADOBE RD,5602,1042,5602 - 1042,PETALUMA HILL RD,DAVIS LN,10.42,10.84,O,2,2218,24,53232,90,2015/04/15,88,5 - Major Collector,SE,2nd District,COT,2011/10/24,1967/06/01,
785,FIFTH ST EAST,55024,1022,55024 - 1022,PERU RD,NAPA RD,10.22,10.71,A,2,2587,20,51740,69,2015/04/07,65,5 - Major Collector,SE,1st District,SON,1988/01/01,1988/01/01,
213,BENNETT VALLEY RD,6604,1276,6604 - 1276,BRIDGE 20C-220,GRANGE RD,12.76,14.45,O,2,8923,25,223075,96,2015/03/27,90,5 - Major Collector,SE,1st District,COT,2011/08/02,1984/11/15,
