OBJECTID,RoadName,RoadID,SectionID,RoadIDSect,LocationBe,LocationEn,PMBeg,PMEnd,SurfaceTyp,Lanes,Length,Width,Area,PCI_Inspec,PCI_Insp_1,PCI_Curren,Functional,Quadrant,Supervisor,RoadYard,Constructi,Construc_1
1940,RAMAL RD,5501,1047,5501 - 1047,DALE AVE,SKAGGS ISLAND RD,10.47,13.64,A,2,6738,22,148236,17,2015/02/11,8,6 - Minor Collector,SE,1st District,SON,1969/10/21,1969/10/21,
1856,PETALUMA HILL RD,5710B,1673,5710B - 1673,SNYDER LN,SR CITY LIMIT (NEAR WINTERHAVEN AVE),16.73,18.81,O,2,10982,41,450262,66,2015/04/26,63,5 - Major Collector,SE,3rd District,COT,1986/08/31,1986/08/31,
1291,LAUREL AVE,56120,1000,56120 - 1000,HICKORY ST,BAY ST,10,10.18,A,2,950,17,16150,5,2015/05/22,0,7 - Local,SE,1st District,SON,1985/01/01,1985/01/01,
1737,OLD LAKEVILLE RD 3,46001,1000,46001 - 1000,LAKEVILLE RD,LAKEVILLE RD,10,11.94,A,2,10243,19,194617,31,2015/06/10,28,7 - Local,SE,2nd District,COT,1984/06/08,1984/06/08,
2215,SONOMA MTN RD,66060,2441,66060 - 2441,MOUNTAIN MEADOW LN,ENTERPRISE RD,24.41,25.47,A,2,6547,17,107973,35,2015/03/30,30,7 - Local,SE,1st District,SON,1969/01/01,1969/01/01,
1389,LOVALL VALLEY RD,55040B,1061,55040B - 1061,7TH ST EAST / CASTLE RD,THORNSBERRY RD,10.61,11.48,A,2,4594,25,114850,35,2015/05/28,32,7 - Local,SE,1st District,SON,1973/01/01,1973/01/01,
2168,SIERRA DR,56088,1000,56088 - 1000,W. THOMSON AVE,HWY 12,10,10.27,A,2,1426,17,24242,15,2015/05/22,11,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
1317,LEVERONI RD,5503A,0823,5503A - 0823,ARNOLD DR,HARRIS RD,8.23,9.29,O,2,5597,32,179104,92,2015/04/07,91,5 - Major Collector,SE,1st District,SON,2011/08/01,1976/01/01,
2070,ROSS CT,56206,1000,56206 - 1000,LINDEN ST,END,10,10.09,A,2,475,34,16150,31,2015/05/22,28,7 - Local,SE,1st District,SON,1979/01/01,1979/01/01,
1261,LAKEVILLE RD,3601,1378,3601 - 1378,OLD LAKEVILLE RD 3 (NORTH END),OLD LAKEVILLE RD 2 (SOUTH END),13.78,14.99,O,2,6389,32,204448,92,2015/02/23,88,4 - Minor Arterial,SE,2nd District,COT,2006/06/09,1978/12/25,
1809,PALO VERDE CT,66099,1000,66099 - 1000,LA GRAMA,END,10,10.02,A,2,106,60,6360,42,2015/05/22,39,7 - Local,SE,1st District,SON,1981/01/01,1981/01/01,
1909,PRESSLEY RD,67001A,1195,67001A - 1195,PARK ENTRANCE,SONOMA MOUNTAIN RD,11.95,14.26,O,2,12197,23,280531,49,2015/03/30,51,7 - Local,SE,1st District,COT,2010/08/23,1990/11/20,
1850,PETALUMA HILL RD,5710B,1146,5710B - 1146,EAST RAILROAD AVE,VALLEY HOUSE DR,11.46,11.96,O,2,2640,36,95040,90,2015/04/26,88,5 - Major Collector,SE,2nd District,COT,2013/09/03,1971/01/08,
1619,MOUNTAIN AVE,66006,1000,66006 - 1000,HWY 12,END,10,10.59,A,2,3115,20,62300,27,2015/05/29,23,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
1455,MARGIE LN,66078,1000,66078 - 1000,MAPLE GLEN RD,END,10,10.2,A,2,1056,18,19008,21,2015/06/10,17,7 - Local,SE,1st District,SON,1980/01/01,1980/01/01,
1664,NORRBOM RD,55049,1013,55049 - 1013,SONOMA (CITY OF) CITY LIMIT,HIGH RD,10.13,11.09,A,2,5069,20,101380,42,2015/04/07,5,5 - Major Collector,SE,1st District,SON,1968/01/01,1968/01/01,
2237,SPRING DR,56156,1000,56156 - 1000,GROVE ST,PM 10.10,10,10.1,A,2,720,22,15840,29,2015/05/28,25,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
1548,MIDDLEFIELD RD,66007,1000,66007 - 1000,WATERMAN AVE,FETTERS AVE,10,10.2,A,2,1056,20,21120,30,2015/05/29,27,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
1387,LOVALL VALLEY CT,55053,1000,55053 - 1000,LOVALL CT,LOVALL VALLEY RD,10,10.52,A,2,2746,22,60412,31,2015/05/28,28,7 - Local,SE,1st District,SON,1969/01/01,1969/01/01,
2125,SCHULTZ RD,66064,1000,66064 - 1000,BRISTOL RD,LAWNDALE RD,10,11.24,A,2,6547,10,65470,30,2015/05/28,26,7 - Local,SE,1st District,SON,1968/01/01,1968/01/01,
1540,MICHAEL DR,56132,1000,56132 - 1000,ERNEST DR,END,10,10.61,A,2,3221,25,80525,26,2015/05/29,22,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
1447,MANOR LN,57033,1074,57033 - 1074,BRIDGE,END,10.74,11.47,A,2,3854,21,80934,36,2015/06/16,33,7 - Local,SE,2nd District,COT,1977/05/09,1977/05/09,
2150,SERRES RD,66067,1000,66067 - 1000,END,HWY 12,10,10.27,A,2,1426,22,31372,19,2015/05/22,15,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
1348,LOBELIA CT,56218,1000,56218 - 1000,END,VIA COLUMBARD,10,10.09,A,2,475,32,15200,28,2015/05/28,24,7 - Local,SE,1st District,SON,1987/01/01,1987/01/01,
2059,ROLLO RD,66097,1000,66097 - 1000,BENNETT RIDGE RD,BENNETT RIDGE RD,10,10.66,A,2,3485,22,76670,44,2015/06/16,41,7 - Local,SE,1st District,SON,1971/01/01,1971/01/01,
1205,KELSEY CT,56238,1000,56238 - 1000,RAILROAD AVE,END,10,10.07,A,2,370,32,11840,28,2015/05/29,24,7 - Local,SE,1st District,SON,1997/01/01,1997/01/01,
1783,ORCHARD AVE,56090,1000,56090 - 1000,RIVER RD,GREGER ST,10,10.17,A,2,898,16,14368,4,2015/05/22,0,7 - Local,SE,1st District,SON,1967/01/01,1967/01/01,
1918,PUEBLO AVE,55029,1000,55029 - 1000,END,NAPA RD.,10,10.28,A,2,1478,25,36950,11,2015/05/28,7,7 - Local,SE,1st District,SON,1977/01/01,1977/01/01,
1759,OLD REDWOOD HWY N,5712B,1552,5712B - 1552,MINNESOTA AVE,E-W RAILROAD AVE,15.52,16.15,O,2,3326,41,136366,96,2015/03/30,90,5 - Major Collector,SE,2nd District,COT,2013/09/05,1974/01/01,
2214,SONOMA MTN RD,66060,2325,66060 - 2325,SONOMA RIDGE RD,MOUNTAIN MEADOW LN,23.25,24.41,A,2,6125,16,98000,30,2015/03/30,25,7 - Local,SE,1st District,SON,1969/01/01,1969/01/01,
1417,MADISON DR,56160,1000,56160 - 1000,ARNOLD DR,COTTONWOOD AVE,10,10.15,A,2,792,32,25344,18,2015/05/29,14,7 - Local,SE,1st District,SON,1967/01/01,1967/01/01,
2158,SHAINSKY RD,55020,2000,55020 - 2000,HWY 12,SHAINSKY RD,20,20.06,A,2,317,13,4121,67,2015/05/28,65,7 - Local,SE,1st District,SON,1977/01/01,1977/01/01,
1338,LINWOOD AVE,78025,1003,78025 - 1003,CITY LIMIT,END COUNTY MAINTENANCE,10.66,10.72,A,2,317,13,4121,7,2015/05/22,2,7 - Local,SE,3rd District,COT,1967/01/01,1967/01/01,
2087,SAN CLEMENTE DR,78032,1000,78032 - 1000,SANTA BARBARA DR,MORAGA DR,10,10.23,A,2,1214,36,43704,17,2015/05/22,13,7 - Local,SE,3rd District,COT,1966/01/01,1966/01/01,
1257,LAKE ST,66026,1000,66026 - 1000,AGUA CALIENTE RD,LAKE ST,10,10.21,A,2,860,25,21500,23,2015/05/22,19,7 - Local,SE,1st District,SON,1967/01/01,1967/01/01,
1684,OAK GLEN DR,77031,1000,77031 - 1000,HOLLAND DR,END,10,10.13,O,2,686,16,10976,37,2015/05/22,34,7 - Local,SE,1st District,COT,1990/06/01,1941/11/02,
2334,SUNSET WAY,66008,1000,66008 - 1000,WATERMAN AVE,FETTERS AVE,10,10.18,A,2,950,21,19950,34,2015/05/31,31,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
1367,LORNA DR,66039,1000,66039 - 1000,CECELIA DR,LORNA DR,10,10.05,A,2,264,24,6336,22,2015/05/29,18,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
2038,ROBINSON RD,56056B,1021,56056B - 1021,BEGIN IMPROVED RD,END IMPROVED RD,10.21,10.28,A,2,370,21,7770,8,2015/05/22,3,7 - Local,SE,1st District,SON,1984/01/01,1984/01/01,
1290,LAUREL AVE,56039,4000,56039 - 4000,ARNOLD DR,END,40,40.07,A,2,370,14,5180,31,2015/05/22,28,7 - Local,SE,1st District,SON,1982/01/01,1982/01/01,
1806,PALM AVE,57050,1000,57050 - 1000,GOODWIN AVE,PENNGROVE AVE,10,10.56,A,2,2957,17,50269,28,2015/04/26,24,7 - Local,SE,2nd District,COT,1983/01/01,1983/01/01,
2362,TEMELEC DR,56195,1000,56195 - 1000,TEMELEC CIRCLE,END,10,10.11,A,2,581,32,18592,29,2015/05/28,26,7 - Local,SE,1st District,SON,1975/01/01,1975/01/01,
1585,MOCABEE RD,56011,1000,56011 - 1000,FELDER RD,SPERRING RD,10,10.33,A,2,1742,14,24388,17,2015/05/28,13,7 - Local,SE,1st District,SON,1982/01/01,1982/01/01,
1638,NAPA RD,5503B,1056,5503B - 1056,FIFTH ST EAST,EIGHTH ST EAST,10.56,11.22,O,2,3485,32,111520,97,2015/02/23,90,3 - Other Principal Arterial,SE,1st District,SON,2014/11/30,1984/01/01,
1666,NORRBOM RD,55049,1191,55049 - 1191,(2ND) CATTLE GUARD,END,11.91,13.26,A,2,7128,10,71280,25,2015/05/28,21,7 - Local,SE,1st District,SON,1983/01/01,1983/01/01,
2207,SONOMA GLEN CIRCLE,66102,1000,66102 - 1000,ARNOLD DR,SONOMA GLEN CIRCLE,10,10.25,A,2,1320,36,47520,39,2015/05/31,36,7 - Local,SE,1st District,SON,1984/01/01,1984/01/01,
1432,MAIN ST,5710A,1014,5710A - 1014,OLD REDWOOD HWY N,ADOBE RD,10.14,10.46,O,2,1731,38,65778,92,2015/06/10,90,5 - Major Collector,SE,2nd District,COT,2013/09/03,1976/01/01,
2173,SILVA RD,55022,1000,55022 - 1000,EAST WATMAUGH RD,PERU RD,10,10.22,A,2,1162,26,30212,56,2015/05/28,54,7 - Local,SE,1st District,SON,1988/01/01,1988/01/01,
1326,LICHAU RD,67002,1136,67002 - 1136,ROBERTS RD,END IMPROVED ROAD,11.36,11.78,A,2,2218,23,51014,97,2015/03/30,91,7 - Local,SE,1st District,COT,2013/08/05,1988/01/01,
2086,SAN CARLOS DR,56151,1000,56151 - 1000,SAN GABRIAL DR,END,10,10.15,A,2,792,34,26928,29,2015/05/22,25,7 - Local,SE,1st District,SON,1965/01/01,1965/01/01,
1300,LAURELBROOK CT,56244,1000,56244 - 1000,PETALUMA AVE,END,10,10.07,A,2,370,28,10360,44,2015/05/22,41,7 - Local,SE,1st District,SON,1997/01/01,1997/01/01,
1757,OLD REDWOOD HWY N,5712B,1413,5712B - 1413,MAIN ST PENNGROVE,ADOBE RD,14.13,14.6,O,2,2462,41,100942,96,2015/03/30,90,5 - Major Collector,SE,2nd District,COT,2013/09/05,1974/01/01,
2244,SPRING ST,56101,2000,56101 - 2000,BOYES BLVD,PINE AVE,20,20.06,A,2,317,19,6023,5,2015/05/22,0,7 - Local,SE,1st District,SON,1967/01/01,1967/01/01,
1580,MISSION DR,76028,2006,76028 - 2006,MISBRO WAY,END,20.06,20.22,A,2,845,33,27885,53,2015/04/09,50,7 - Local,SE,1st District,SON,1990/01/01,1990/01/01,
1424,MAFFEI RD,55006,1000,55006 - 1000,END,MAFFEI RD NORTH BRANCH,10,10.06,G,2,317,13,4121,0,0000/00/00,0,,SE,1st District,SON,1969/01/01,1969/01/01,
2103,SANTA CATALINA WY,78031,1000,78031 - 1000,SANTA BARBARA DR,MORAGA DR,10,10.11,A,2,581,36,20916,20,2015/05/22,16,7 - Local,SE,3rd District,COT,1966/01/01,1966/01/01,
1318,LEVERONI RD,5503A,0929,5503A - 0929,HARRIS RD,FIFTH ST WEST,9.29,9.43,O,2,739,43,31777,92,2015/04/07,91,5 - Major Collector,SE,1st District,SON,2011/08/01,1970/01/01,
1635,MYRTLE AVE,56100,2000,56100 - 2000,ORCHARD AVE,BOYES BLVD,20,20.12,A,2,634,16,10144,13,2015/05/29,9,7 - Local,SE,1st District,SON,1967/01/01,1967/01/01,
1476,MARTIN ST,66040,1000,66040 - 1000,ARNOLD DR,BURBANK DR,10,10.24,A,2,1267,27,34209,34,2015/05/29,31,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
2101,SANTA ANA DR,78029,1009,78029 - 1009,S.R. CITY LIMITS,MORAGA DR,10.09,10.45,A,2,1901,36,68436,93,2015/05/22,90,7 - Local,SE,3rd District,COT,1966/01/01,1966/01/01,
2256,ST PATRICK CT,56243,1000,56243 - 1000,END,AVENIDA SABASTIANI,10,10.03,A,2,158,32,5056,48,2015/05/28,45,7 - Local,SE,1st District,SON,1997/01/01,1997/01/01,
1441,MALDONADO AVE,56064,1000,56064 - 1000,SECOND AVE,VALLEJO AVE,10,10.11,A,2,581,21,12201,34,2015/05/29,31,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
2090,SAN JACINTO DR,56135,1000,56135 - 1000,EL DORADO DR,ANZA DR,10,10.09,A,2,475,34,16150,12,2015/05/22,8,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
1263,LAKEVILLE RD,3601,1568,3601 - 1568,CANNON LN,HWY 116,15.68,16.97,O,2,6811,33,224763,91,2015/02/23,88,4 - Minor Arterial,SE,2nd District,COT,2013/09/03,1976/11/11,
1818,PARK TREE LN,56203,1000,56203 - 1000,RAILROAD AVE,RAILROAD AVE,10,10.45,A,2,2376,34,80784,53,2015/05/29,51,7 - Local,SE,1st District,SON,1979/01/01,1979/01/01,
1925,RAILROAD AVE,56046,2000,56046 - 2000,WALNUT AVE,VERANO AVE,20,20.36,A,2,1887,19,35853,16,2015/05/22,12,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
1916,PROSPECT DR,56167,1000,56167 - 1000,GROVE ST,SPRING DR,10,10.28,A,2,1478,23,33994,15,2015/05/18,11,7 - Local,SE,1st District,SON,1968/01/01,1968/01/01,
1504,MEADOW OAKS DR,66106,1017,66106 - 1017,SERRES DR,EL RITERO DR,10,10.28,A,2,1478,32,47296,52,2015/05/29,49,7 - Local,SE,1st District,SON,1997/01/01,1997/01/01,
1724,OLD BENNETT RDG RD,66081A,1047,66081A - 1047,ROLLO RD,END,10.47,10.7,A,2,1214,22,26708,76,2015/06/16,74,7 - Local,SE,1st District,SON,1979/01/01,1979/01/01,
2211,SONOMA MTN RD,66060,2000,66060 - 2000,BENNETT VALLEY RD,LA PAZ LN,20,21.1,A,2,5808,25,145200,70,2015/03/30,68,7 - Local,SE,1st District,SON,1983/01/01,1983/01/01,
1601,MOON MOUNTAIN DR,66031,1000,66031 - 1000,STATE HWY 12,ROAD NARROWS,10,10.5,A,2,2640,20,52800,79,2015/05/29,77,7 - Local,SE,1st District,SON,1984/01/01,1984/01/01,
1440,MALCOLM LN,57070,1000,57070 - 1000,OLD REDWOOD HWY N,OLD REDWOOD HWY N,10,10.13,A,2,686,20,13720,81,2015/04/26,80,7 - Local,SE,2nd District,COT,1996/12/31,1996/12/31,
2149,SERPILIO DR,56212,1000,56212 - 1000,ARBOR AVE,END,10,10.1,A,2,528,35,18480,38,2015/05/22,35,7 - Local,SE,1st District,SON,1979/01/01,1979/01/01,
1309,LAWNDALE RD,76023,1279,76023 - 1279,BUCKEYE RD,HWY 12,12.79,13.43,A,2,3379,19,64201,30,2015/05/18,26,7 - Local,SE,1st District,SON,1988/01/01,1988/01/01,
2032,ROBERTS LAKE RD,68096,1000,68096 - 1000,LEAVE CTY LMTS R.P.,SANTA ROSA AVE,10,10.17,O,2,898,36,32328,86,2015/06/10,83,5 - Major Collector,SE,3rd District,COT,2013/09/09,1989/01/01,
1244,KYLERS CT,57079,1000,57079 - 1000,DEAD END,PM 10.080,10,10.08,A,2,422,32,13504,84,2015/04/26,83,7 - Local,SE,2nd District,COT,2000/01/01,2000/01/01,
1774,OLGA MARIA CT,57081,1000,57081 - 1000,DEAD END,GROVE ST,10,10.04,A,2,211,36,7596,85,2015/04/26,83,7 - Local,SE,2nd District,COT,2009/01/01,2009/01/01,
2063,ROSE AVE,58036,1000,58036 - 1000,END,MINNESOTA,10,10.54,A,2,2851,16,45616,25,2015/04/26,21,7 - Local,SE,2nd District,COT,1983/01/01,1983/01/01,
1206,KENLEIGH DR,56159,1000,56159 - 1000,GROVE ST,GROVE ST,10,10.58,A,2,3062,22,67364,32,2015/05/18,29,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
1787,ORCHARD LN,57064,1000,57064 - 1000,DENMAN RD,ORCHARD LN,10,10.47,A,2,2482,20,49640,34,2015/04/26,30,7 - Local,SE,2nd District,COT,1988/01/01,1988/01/01,
1927,RAILROAD AVE,56047,3034,56047 - 3034,CRAIG AVE,BOYES BLVD,30.35,30.76,A,2,2165,25,54125,56,2015/05/22,52,5 - Major Collector,SE,1st District,SON,1982/01/01,1982/01/01,
1843,PETALUMA AVE,56018,1000,56018 - 1000,ARNOLD DR,RIVERSIDE DR,10,10.62,A,2,3274,25,81850,88,2015/04/07,85,5 - Major Collector,SE,1st District,SON,1997/04/11,1997/04/10,
1633,MULBERRY AVE,56102,1000,56102 - 1000,ORCHARD AVE,BOYES BLVD,10,10.11,A,2,581,18,10458,5,2015/05/29,0,7 - Local,SE,1st District,SON,1967/01/01,1967/01/01,
1679,NUT TREE LN,55058,1000,55058 - 1000,OLD WINERY RD,LOVALL VALLEY RD,10,10.3,A,2,1584,32,50688,63,2015/05/28,61,7 - Local,SE,1st District,SON,1973/01/01,1973/01/01,
2208,SONOMA MTN RD,57035,1000,57035 - 1000,ADOBE RD,NARROW SECTION AT CURVE,10,11.29,A,2,6811,22,149842,47,2015/03/30,33,7 - Local,SE,2nd District,COT,1982/01/01,1982/01/01,
1526,MERVIN AVE,76017,1000,76017 - 1000,END,KENNILWORTH AVE,10,10.17,A,2,898,12,10776,10,2015/04/17,5,7 - Local,SE,1st District,SON,1959/01/01,1959/01/01,
1390,LOVALL VALLEY RD,55040B,1148,55040B - 1148,THORNSBERRY RD,WOOD VALLEY RD,11.48,12.23,A,2,3960,21,83160,34,2015/05/28,31,7 - Local,SE,1st District,SON,1973/01/01,1973/01/01,
2108,SANTA ROSA AVE,7802,1158,7802 - 1158,EAST ROBLES AVE,CITY OF SANTA ROSA,11.58,12.09,A,2,2693,76,204668,63,2015/03/30,60,4 - Minor Arterial,SE,3rd District,COT,1954/01/01,1954/01/01,
1384,LOS ROBLES DR,56126,1000,56126 - 1000,CENTRAL AVE,END,10,10.35,A,2,1848,22,40656,35,2015/05/22,32,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
1993,RIVER RD,56103,4000,56103 - 4000,ORCHARD AVE,BOYES BLVD,40,40.1,A,2,528,13,6864,8,2015/05/22,3,7 - Local,SE,1st District,SON,1967/01/01,1967/01/01,
1211,KENNILWORTH AVE,76018,1000,76018 - 1000,END,MERVIN AVE,10,10.69,A,2,3643,10,36430,16,2015/04/17,11,7 - Local,SE,1st District,SON,1983/01/01,1983/01/01,
1812,PARK AVE,66017,1000,66017 - 1000,MOUNTAIN AVE,AQUA CALIENTE RD,10,10.55,A,2,2904,20,58080,25,2015/05/22,21,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
1626,MT TAYLOR DR,77026,1028,77026 - 1028,BENNETT VIEW DR,BENNETT VALLEY RD,10.28,10.59,A,2,1637,20,32740,40,2015/05/29,37,7 - Local,SE,1st District,COT,1966/01/01,1966/01/01,
1755,OLD REDWOOD HWY N,5712B,1320,5712B - 1320,PETALUMA CITY LIMIT,DENMAN RD,13.2,13.53,O,2,1795,32,57440,96,2015/03/30,90,5 - Major Collector,SE,2nd District,COT,2013/09/02,1974/01/01,
2235,SPERRING RD,56010,1016,56010 - 1016,MOCABEE RD,ARNOLD DR,10.16,10.76,A,2,3168,16,50688,28,2015/05/28,24,7 - Local,SE,1st District,SON,1982/01/01,1982/01/01,
1516,MELODY LN,56207,1000,56207 - 1000,ACADEMY LN,WEST THOMSON AVE,10,10.18,A,2,950,34,32300,27,2015/05/29,23,7 - Local,SE,1st District,SON,1980/01/01,1980/01/01,
1418,MADRID WY,56251,1000,56251 - 1000,BARCELONA DR (W),BARCELONA DR (E),10,10.16,A,2,845,32,27040,37,2015/05/22,34,7 - Local,SE,1st District,SON,1997/01/01,1997/01/01,
1867,PINE AVE,56093,2000,56093 - 2000,BOYES BLVD,PINE AVE,20,20.1,A,2,528,25,13200,12,2015/05/22,8,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
1480,MARTY ST,66042,1035,66042 - 1035,CECELIA DR,MARTIN ST,10.35,10.46,A,2,581,36,20916,27,2015/05/29,23,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
1668,NORTH CASTLE RD,55046,2000,55046 - 2000,END,END,20,20.09,A,2,475,14,6650,5,2015/05/28,0,7 - Local,SE,1st District,SON,1982/01/01,1982/01/01,
2238,SPRING DR,56156,1010,56156 - 1010,PM 10.10,GROVE ST,10.1,10.65,A,2,2904,23,66792,42,2015/05/28,39,7 - Local,SE,1st District,SON,1968/01/01,1968/01/01,
1581,MISSION DR/WB,56172,1000,56172 - 1000,VINEYARD CIRCLE,ARNOLD DR,10,10.29,A,1,1531,20,30620,43,2015/05/28,40,7 - Local,SE,1st District,SON,1970/01/01,1970/01/01,
1391,LOVALL VALLEY RD,55040B,1223,55040B - 1223,WOOD VALLEY RD,NAPA COUNTY LINE,12.23,13.56,A,2,7022,21,147462,33,2015/05/28,30,7 - Local,SE,1st District,SON,1973/01/01,1973/01/01,
2186,SKYE AVE,67019,1000,67019 - 1000,END,INVERNESS AVE,10,10.07,A,2,370,23,8510,22,2015/05/28,18,7 - Local,SE,1st District,COT,1967/01/01,1967/01/01,
1358,LONDON WAY,66028,1000,66028 - 1000,STATE HWY 12,END,10,10.14,A,2,739,23,16997,0,2015/05/22,0,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
1968,RIDGE RD,65001,1000,65001 - 1000,HIGH RD,LOWER RD,10,10.37,A,2,1954,20,39080,29,2015/05/28,25,7 - Local,SE,1st District,SON,1969/01/01,1969/01/01,
1259,LAKEVILLE RD,3601,1002,3601 - 1002,HWY 37 / BEGIN COUNTY MAINT,OLD LAKEVILLE RD 3 (SOUTH END),10.02,12.17,O,2,11352,70,794640,86,2015/02/23,84,4 - Minor Arterial,SE,2nd District,COT,1984/01/01,1984/01/01,
1775,OLIVE AVE,56032,1000,56032 - 1000,ARNOLD DR,SOLANO AVE,10,10.3,A,2,1584,17,26928,32,2015/05/22,28,7 - Local,SE,1st District,SON,1988/12/31,1988/12/31,
2342,SWEET WILLIAM CT,56166,1000,56166 - 1000,END,GROVE ST,10,10.13,A,2,686,24,16464,26,2015/05/28,22,7 - Local,SE,1st District,SON,1968/01/01,1968/01/01,
1587,MOLINE AVE,56234,1000,56234 - 1000,COTTONWOOD AVE,TOY LN,10,10.16,A,2,845,29,24505,45,2015/05/29,42,7 - Local,SE,1st District,SON,1985/01/01,1985/01/01,
1623,MOURA LN,67006,1000,67006 - 1000,SNYDER LN,END,10,10.5,A,2,2640,32,84480,0,2015/04/26,0,7 - Local,SE,3rd District,COT,1997/01/01,1997/01/01,
1721,OLA CT,56169,1000,56169 - 1000,END,GROVE ST,10,10.05,A,2,264,33,8712,26,2015/05/22,22,7 - Local,SE,1st District,SON,1969/01/01,1969/01/01,
2216,SONOMA MTN RD,66060,2610,66060 - 2610,ENTERPRISE RD,WARM SPRINGS RD,26.1,27.68,A,2,8342,16,136798,31,2015/03/30,27,7 - Local,SE,1st District,SON,1989/09/07,1989/09/07,
1388,LOVALL VALLEY RD,55040A,1013,55040A - 1013,SONOMA CITY LIMITS,SEVENTH ST EAST,10.13,10.57,A,2,2323,19,44137,21,2015/04/07,13,5 - Major Collector,SE,1st District,SON,1977/01/01,1977/01/01,
2037,ROBINSON RD,56056B,1007,56056B - 1007,LEAVE CITY LIMITS,BEGIN IMPROVED RD,10.07,10.21,A,2,739,27,19953,12,2015/05/22,8,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
1357,LONDON RANCH RD,66045,1020,66045 - 1020,STATE PARK,ARNOLD DR,10.2,11.34,A,2,6019,24,144456,73,2015/04/17,71,7 - Local,SE,1st District,SON,1974/01/01,1974/01/01,
1851,PETALUMA HILL RD,5710B,1196,5710B - 1196,VALLEY HOUSE DR,ROBERTS RD,11.96,12.47,O,2,2693,37,99641,90,2015/04/26,88,5 - Major Collector,SE,2nd District,COT,2013/09/03,1971/04/20,
1908,PRESSLEY RD,67001A,1136,67001A - 1136,ROBERTS RD,PARK ENTRANCE,11.36,11.95,O,2,3115,22,68530,77,2015/03/30,82,7 - Local,SE,1st District,COT,2010/08/23,1988/01/01,
2151,SEVENTH ST EAST,55037,1000,55037 - 1000,DENMARK ST,EAST NAPA ST,10,10.75,A,2,3960,17,67320,23,2015/04/07,15,5 - Major Collector,SE,1st District,SON,1980/01/01,1980/01/01,
1353,LOMA CT,56127,1000,56127 - 1000,END,LOS ROBLES DR,10,10.08,A,2,422,23,9706,39,2015/05/22,36,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
2033,ROBERTS RD,67001B,1000,67001B - 1000,PETALUMA HILL RD,LICHAU RD,10,11.36,A,2,7181,28,199167,59,2015/06/16,53,7 - Local,SE,1st District,COT,1990/12/21,1990/12/21,
1215,KING CT,56213,1000,56213 - 1000,PARK TREE LN,END,10,10.04,A,2,211,54,11394,37,2015/05/29,34,7 - Local,SE,1st District,SON,1979/01/01,1979/01/01,
1654,NIKKI DR,56210,1000,56210 - 1000,ARBOR AVE,SERPILIO DR,10,10.1,A,2,528,35,18480,37,2015/05/22,34,7 - Local,SE,1st District,SON,1979/01/01,1979/01/01,
1532,MESQUITE CT,56170,1000,56170 - 1000,END,KENLEIGH DR,10,10.08,A,2,422,23,9706,38,2015/05/18,35,7 - Local,SE,1st District,SON,1969/01/01,1969/01/01,
1423,MADRONE RD,6605,1000,6605 - 1000,ARNOLD DR,HWY 12,10,10.91,A,2,4805,32,153760,66,2015/04/07,62,5 - Major Collector,SE,1st District,SON,1980/01/01,1980/01/01,
1634,MURRAY DR,66084,1000,66084 - 1000,MARTY ST,END,10,10.03,A,2,158,36,5688,22,2015/05/29,18,7 - Local,SE,1st District,SON,1967/01/01,1967/01/01,
1501,MEADOW DR,56176,1000,56176 - 1000,END,END-WOOD BARRICADE,10,10.12,A,2,634,32,20288,32,2015/05/28,29,7 - Local,SE,1st District,SON,1970/01/01,1970/01/01,
2122,SCHOOL ST,56199,1000,56199 - 1000,ARBOR AVE,END,10,10.13,A,2,686,34,23324,31,2015/05/31,28,7 - Local,SE,1st District,SON,1976/01/01,1976/01/01,
2218,SOUTH CENTRAL AVE,55003,1041,55003 - 1041,STATE HIGHWAY 12,KNOB HILL RD,10.41,10.81,A,2,2112,13,27456,30,2015/05/28,27,7 - Local,SE,1st District,SON,1975/01/01,1975/01/01,
1337,LINDEN ST,56031,1000,56031 - 1000,PETALUMA AVE,END,10,10.7,A,2,3696,18,66528,19,2015/05/22,15,7 - Local,SE,1st District,SON,1982/01/01,1982/01/01,
